Date;CASAGRC1;BBVAC1;GLORIA;
2020-01-21;2.97;3.44;6;
2020-01-22;2.97;3.44;6;
2020-01-23;2.97;3.5;6;
2020-01-24;3.04;3.47;6;
2020-01-27;3;3.44;6;
2020-01-28;3;3.42;6;
2020-01-29;2.95;3.45;6;
2020-01-30;2.95;3.45;6;
2020-01-31;3;3.45;6;
2020-02-03;2.91;3.4;6;
2020-02-04;2.91;3.38;6;
2020-02-05;3;3.37;6;
2020-02-06;3;3.45;6;
2020-02-07;2.91;3.44;6;
2020-02-10;2.91;3.44;6;
2020-02-11;2.91;3.44;6;
2020-02-12;2.9;3.39;6;
2020-02-13;2.91;3.35;6;
2020-02-14;2.91;3.35;6;
2020-02-17;2.91;3.37;6;
2020-02-18;2.91;3.37;6;
2020-02-19;3.05;3.4;6;
2020-02-20;3.2;3.4;6;
2020-02-21;3.2;3.41;6;
2020-02-24;3.2;3.41;6.3;
2020-02-25;3.2;3.36;6;
2020-02-26;3.05;3.36;6;
2020-02-27;3.05;3.37;6;
2020-02-28;2.95;3.35;6;
2020-03-02;2.87;3.3;6;
2020-03-03;2.8;3.3;6;
2020-03-04;2.87;3.29;6;
2020-03-05;2.95;3.3;6;
2020-03-06;2.88;3.3;6;
2020-03-09;2.72;3.25;6;
2020-03-10;2.6;3.2;6;
2020-03-11;2.57;3.2;6;
2020-03-12;2.57;3.15;6;
2020-03-13;2.55;2.9;6;
2020-03-16;2.55;3.05;6;
2020-03-17;2.4;2.8;6;
2020-03-18;2.4;2.79;6;
2020-03-19;2.2;2.5;6;
2020-03-20;2.2;2.45;6;
2020-03-23;2.1;2.5;6;
2020-03-24;2.2;2.4;6;
2020-03-25;2.35;2.34;6;
2020-03-26;2.2;2.45;6;
2020-03-27;2.2;2.5;6;
2020-03-30;2.2;2.35;6;
2020-03-31;2.2;2.27;6;
2020-04-01;2.29;2.35;6;
2020-04-02;2.29;2.32;6;
2020-04-03;2.29;2.32;6;
2020-04-06;2.2;2.27;6;
2020-04-07;2.2;2.25;6;
2020-04-08;2.11;2.42;6;
2020-04-13;2.12;2.42;6;
2020-04-14;2.12;2.42;6;
2020-04-15;2.12;2.42;6;
2020-04-16;2.2;2.42;6;
2020-04-17;2.2;2.42;6;
2020-04-20;2.3;2.45;6;
2020-04-21;2.3;2.45;5.89;
2020-04-22;2.3;2.4;5.89;
2020-04-23;2.3;2.4;5.89;
2020-04-24;2.3;2.4;5.89;
2020-04-27;2.3;2.35;5.89;
2020-04-28;2.31;2.35;5.89;
2020-04-29;2.32;2.36;5.89;
2020-04-30;2.32;2.4;5.89;
2020-05-04;2.32;2.39;5.89;
2020-05-05;2.4;2.39;5.89;
2020-05-06;2.4;2.39;5.89;
2020-05-07;2.75;2.42;5.89;
2020-05-08;3.1;2.45;5.89;
2020-05-11;2.72;2.5;5.89;
2020-05-12;2.8;2.5;5.89;
2020-05-13;2.8;2.62;5.89;
2020-05-14;2.76;2.58;5.89;
2020-05-15;2.75;2.58;5.89;
2020-05-18;3;2.55;5.89;
2020-05-19;3;2.59;5.89;
2020-05-20;3;2.6;5.89;
2020-05-21;3;2.61;5.89;
2020-05-22;3;2.62;5.89;
2020-05-25;3;2.61;5.89;
2020-05-26;2.9;2.63;5.89;
2020-05-27;2.9;2.67;5.89;
2020-05-28;2.9;2.69;5.89;
2020-05-29;2.9;2.69;5.9;
2020-06-01;2.9;2.67;5.9;
2020-06-02;2.9;2.67;5.9;
2020-06-03;2.9;2.57;5.9;
2020-06-04;2.95;2.61;6;
2020-06-05;3;2.61;6;
2020-06-08;3;2.63;6;
2020-06-09;3;2.65;6;
2020-06-10;2.99;2.69;6;
2020-06-11;2.95;2.72;6;
2020-06-12;2.9;2.6;6;
2020-06-15;2.9;2.63;6;
2020-06-16;2.9;2.6;6;
2020-06-17;2.9;2.65;6;
2020-06-18;2.9;2.65;6;
2020-06-19;2.9;2.65;6;
2020-06-22;2.95;2.65;6;
2020-06-23;3;2.65;6;
2020-06-24;3;2.67;6;
2020-06-25;2.9;2.7;6;
2020-06-26;2.9;2.7;6;
2020-06-30;2.95;2.66;6;
2020-07-01;2.95;2.7;6;
2020-07-02;3;2.6;6;
2020-07-03;3;2.66;6;
2020-07-06;3;2.66;6;
2020-07-07;2.9;2.66;6;
2020-07-08;2.9;2.62;6;
2020-07-09;2.99;2.59;6;
2020-07-10;2.95;2.5;6;
2020-07-13;2.9;2.4;6.01;
2020-07-14;2.9;2.38;6.01;
2020-07-15;2.9;2.35;6.01;
2020-07-16;2.9;2.35;6.01;
2020-07-17;2.9;2.35;6.01;
2020-07-20;2.9;2.35;6.01;
2020-07-21;2.95;2.36;6.01;
2020-07-22;2.95;2.45;6.01;
2020-07-23;2.91;2.48;6.01;
2020-07-24;2.91;2.49;6.01;
2020-07-27;2.91;2.49;6.01;
2020-07-29;2.91;2.5;6.01;
2020-07-30;2.92;2.54;6.01;
2020-07-31;2.97;2.5;6.01;
2020-08-03;2.97;2.47;6.01;
2020-08-04;2.97;2.4;6.01;
2020-08-05;2.97;2.41;6.01;
2020-08-06;3.01;2.4;6.01;
2020-08-07;3.01;2.4;6.01;
2020-08-10;3.03;2.39;6.01;
2020-08-11;3;2.37;6.01;
2020-08-12;3;2.37;6.01;
2020-08-13;3;2.37;5.82;
2020-08-14;3.35;2.36;5.82;
2020-08-17;3.48;2.35;5.82;
2020-08-18;3.6;2.38;5.82;
2020-08-19;3.65;2.41;5.82;
2020-08-20;3.52;2.4;5.82;
2020-08-21;3.49;2.4;5.82;
2020-08-24;3.49;2.4;5.82;
2020-08-25;3.3;2.35;5.82;
2020-08-26;3.3;2.38;5.82;
2020-08-27;3.3;2.43;6.3;
2020-08-28;3.3;2.39;6.3;
2020-08-31;3.4;2.35;6.3;
2020-09-01;3.49;2.34;6.3;
2020-09-02;3.55;2.37;6.3;
2020-09-03;3.55;2.34;6.3;
2020-09-04;3.55;2.32;6.3;
2020-09-07;3.55;2.32;6.3;
2020-09-08;3.3;2.32;6.2;
2020-09-09;3.38;2.36;6.2;
2020-09-10;3.38;2.44;6.2;
2020-09-11;3.35;2.48;6.2;
2020-09-14;3.4;2.45;6.2;
2020-09-15;3.4;2.45;6.2;
2020-09-16;3.4;2.45;6.2;
2020-09-17;3.42;2.45;6.2;
2020-09-18;3.42;2.39;6.2;
2020-09-21;3.5;2.38;6.2;
2020-09-22;3.46;2.34;6.2;
2020-09-23;3.46;2.33;6.2;
2020-09-24;3.41;2.33;6.2;
2020-09-25;3.47;2.35;6.2;
2020-09-28;3.47;2.38;6.2;
2020-09-29;3.47;2.38;6.2;
2020-09-30;3.61;2.41;6.2;
2020-10-01;3.61;2.41;6.2;
2020-10-02;3.66;2.41;6.2;
2020-10-05;3.8;2.42;6.2;
2020-10-06;3.8;2.4;6.2;
2020-10-07;3.81;2.38;6.2;
2020-10-08;3.85;2.38;6.2;
2020-10-09;4.05;2.36;6.2;
2020-10-12;4;2.33;6.2;
2020-10-13;4;2.33;6.2;
2020-10-14;4.1;2.33;6.2;
2020-10-15;4.1;2.33;6.2;
2020-10-16;4.17;2.35;6.2;
2020-10-19;4.2;2.37;6.2;
2020-10-20;4.2;2.37;6.2;
2020-10-21;4.3;2.4;6.2;
2020-10-22;4.6;2.36;6.2;
2020-10-23;4.75;2.35;6.2;
2020-10-26;4.9;2.35;6.2;
2020-10-27;4.91;2.33;6.2;
2020-10-28;4.91;2.1;6.2;
2020-10-29;4.85;2.05;6.2;
2020-10-30;5;2.05;6.2;
2020-11-02;5;2.06;6.2;
2020-11-03;5;2.03;6.45;
2020-11-04;4.9;2.03;6.45;
2020-11-05;4.9;2.03;6.45;
2020-11-06;4.8;2.09;6.45;
2020-11-09;4.78;2.1;6.45;
2020-11-10;4.6;2.4;6.45;
2020-11-11;4.47;2.38;6.45;
2020-11-12;4.39;2.25;6.45;
2020-11-13;4.8;2.22;6.45;
2020-11-16;4.8;2.15;6.45;
2020-11-17;4.9;2.15;6.45;
